SubjectID,Series Description,image_data_id,Acquisition_Type,Weighting,Pulse_Sequence,Slice_Thickness,TE,TR,TI,Coil,Flip_Angle,Acquisition_Plane,Matrix_X,Matrix_Y,Matrix_Z,Pixel_Spacing_X,Pixel_Spacing_Y,Manufacturer,Mfg_Model,Field_Strength,date_added
test1b,T2map,1264676,2D,PD,RM,0.7,100,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:22.0
test1b,T2map,1264677,2D,PD,RM,0.7,10,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:26.0
test1b,T2map,1264678,2D,PD,RM,0.7,20,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:31.0
test1b,T2_TurboRARE,1264679,2D,PD,RM,0.7,23.3333,2500,0,,90,AXIAL,170,170,12,0.1,0.1,Bruker BioSpin MRI GmbH,,11.7388,29:35.0
test1b,ADC,1264680,2D,PD,RM,0.7,26.18,3000,0,,90,AXIAL,85,85,120,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:40.0
test1b,T2map,1264681,2D,PD,RM,0.7,30,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:45.0
test1b,T2map,1264682,2D,PD,RM,0.7,40,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:49.0
test1b,T2map,1264683,2D,PD,RM,0.7,50,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:54.0
test1b,T2map,1264684,2D,PD,RM,0.7,60,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,29:59.0
test1b,T2map,1264685,2D,PD,RM,0.7,70,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,30:03.0
test1b,T2map,1264686,2D,PD,RM,0.7,80,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,30:08.0
test1b,T2map,1264687,2D,PD,RM,0.7,90,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,30:13.0
Test1,T2map,1264623,2D,PD,RM,0.7,70,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,55:49.0
Test1,T2map,1264624,2D,PD,RM,0.7,100,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,55:54.0
Test1,T2map,1264625,2D,PD,RM,0.7,40,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,55:58.0
Test1,T2map,1264626,2D,PD,RM,0.7,90,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:03.0
Test1,T2map,1264627,2D,PD,RM,0.7,50,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:08.0
Test1,T2map,1264628,2D,PD,RM,0.7,80,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:12.0
Test1,T2map,1264629,2D,PD,RM,0.7,60,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:17.0
Test1,ADC,1264630,2D,PD,RM,0.7,26.18,3000,0,,90,AXIAL,85,85,120,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:21.0
Test1,T2map,1264631,2D,PD,RM,0.7,30,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:26.0
Test1,T2map,1264632,2D,PD,RM,0.7,20,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:30.0
Test1,T2_TurboRARE,1264633,2D,PD,RM,0.7,23.3333,2500,0,,90,AXIAL,170,170,12,0.1,0.1,Bruker BioSpin MRI GmbH,,11.7388,56:35.0
Test1,T2map,1264634,2D,PD,RM,0.7,10,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,56:40.0
Nirav,DRT_T2_COR,1253261,2D,PD,SE,0.5,83.16,6383.33,0,,90,AXIAL,256,256,28,0.0977,0.0977,GE MEDICAL SYSTEMS,SIGNA HDx,7,02:24.0
Yale,ADC,1253388,2D,PD,RM,0.7,26.18,3000,0,,90,AXIAL,85,85,120,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:42.0
Yale,T2_TurboRARE,1253389,2D,PD,RM,0.7,23.3333,2500,0,,90,AXIAL,170,170,12,0.1,0.1,Bruker BioSpin MRI GmbH,,11.7388,18:52.0
Yale,T2map,1253467,2D,PD,RM,0.7,70,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:17.0
Yale,T2map,1253468,2D,PD,RM,0.7,100,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:21.0
Yale,T2map,1253469,2D,PD,RM,0.7,40,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:24.0
Yale,T2map,1253470,2D,PD,RM,0.7,90,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:28.0
Yale,T2map,1253471,2D,PD,RM,0.7,50,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:31.0
Yale,T2map,1253472,2D,PD,RM,0.7,80,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:35.0
Yale,T2map,1253473,2D,PD,RM,0.7,60,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:38.0
Yale,T2map,1253474,2D,PD,RM,0.7,30,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:45.0
Yale,T2map,1253475,2D,PD,RM,0.7,20,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:49.0
Yale,T2map,1253476,2D,PD,RM,0.7,10,3000,0,,90,AXIAL,85,85,12,0.2,0.2,Bruker BioSpin MRI GmbH,,11.7388,18:56.0
AU_data,,1265485,2D,PD,RM,0.5,10,4400,0,,90,AXIAL,128,96,30,0.15625,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:30.0
AU_data,,1265486,2D,PD,RM,0.5,10,4400,0,,90,AXIAL,160,160,30,0.125,0.125,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:34.0
AU_data,,1265487,2D,PD,RM,0.5,35,4400,0,,90,AXIAL,160,160,30,0.125,0.125,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:39.0
AU_data,,1265488,2D,PD,RM,0.5,35,2500,0,,90,AXIAL,128,128,90,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:43.0
AU_data,,1265489,2D,PD,RM,0.5,35,4400,0,,90,AXIAL,128,96,30,0.15625,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:47.0
AU_data,,1265490,2D,PD,RM,0.5,70,4400,0,,90,AXIAL,128,96,30,0.15625,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:51.0
AU_data,,1265491,2D,PD,RM,0.5,70,4400,0,,90,AXIAL,160,160,30,0.125,0.125,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05371,21:56.0
YaleMRI,,1275614,2D,PD,RM,0.5,15,3000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,00:50.0
YaleMRI,,1275615,2D,PD,RM,0.5,15,3000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,00:55.0
YaleMRI,Diffusion_weight_SE_sat_A0_b500_1000_0.5mm,1275616,2D,PD,RM,0.5,20,1500,0,,90,AXIAL,128,128,90,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,01:00.0
YaleMRI,,1275617,2D,PD,RM,0.5,25,2000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,01:05.0
YaleMRI,,1275618,2D,PD,RM,0.5,30,3000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,01:09.0
YaleMRI,MSME_T2map_30ms_05mm,1275619,2D,PD,RM,0.5,30,3000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,01:14.0
YaleMRI,,1275620,2D,PD,RM,0.5,45,3000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,01:19.0
YaleMRI,MSME_T2map_45ms_05mm,1275621,2D,PD,RM,0.5,45,3000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,Biospec 94/20,9.40742,01:23.0
Test,DRT_T2_COR,1269546,2D,PD,SE,0.5,83.16,6383.33,0,,90,AXIAL,256,256,28,0.0977,0.0977,GE MEDICAL SYSTEMS,SIGNA HDx,7,53:47.0
Test,,1272302,2D,T2,,1,2.3,120,0,unknown,30,AXIAL,256,256,3,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,49:37.0
Test,,1279575,2D,PD,RM,0.4,30,2400,0,,180,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,,0,15:38.0
WT_Test1,,1270462,2D,T2,,1,2.3,120,0,unknown,30,AXIAL,256,256,3,0.15625,0.15625,Bruker BioSpin MRI GmbH,BioSpec 117/16,11.7511,58:19.0
SSSE_MSME,,1272639,2D,PD,RM,0.5,15,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:08.0
SSSE_MSME,,1272640,2D,PD,RM,0.5,15,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:13.0
SSSE_MSME,,1272641,2D,PD,RM,0.5,30,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:17.0
SSSE_MSME,,1272642,2D,PD,RM,0.5,30,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:22.0
SSSE_MSME,,1272643,2D,PD,RM,0.5,45,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:26.0
SSSE_MSME,,1272644,2D,PD,RM,0.5,45,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:31.0
SSSE_MSME,,1272645,2D,PD,RM,0.5,60,4000,0,,90,AXIAL,128,128,30,0.15,0.15,Bruker BioSpin MRI GmbH,BioSpec 70/20 Av3 HD,7.05372,49:36.0
