"Animal ID","Repeat Instrument","Repeat Instance",Species,"Enrollment model","Actual surgery date ","Date of MRI scan","MRI scan days since surgery","Was the MRI scan uploaded to the IDA?","Reason the MRI scan was not uploaded to the IDA"
AM4022,,,Rat,SHR,2021-07-07,2021-07-09,2,Yes,
AM4025,,,Rat,SHR,2021-07-12,,,,
AM4772,,,Rat,SHR,2021-07-06,,,,
AM4773,,,Rat,SHR,2021-07-12,,,,
AM4774,,,Rat,SHR,2021-07-13,,,,
AM4777,,,Rat,SHR,2021-07-19,,,,
AM4778,,,Rat,SHR,2021-07-20,,,,
FR4342,,,Rat,SHR,2021-07-06,,,,
FR4345,,,Rat,SHR,2021-07-12,,,,
FR5252,,,Rat,SHR,2021-07-05,,,,
FR5256,,,Rat,SHR,2021-07-19,,,,
FR5257,,,Rat,SHR,2021-07-20,,,,
KW9122,,,Rat,SHR,2021-07-06,2021-07-08,2,Yes,
KW9123,,,Rat,SHR,2021-07-07,2021-07-09,2,Yes,
KW9125,,,Rat,SHR,2021-07-12,,,,
KX0211,,,Rat,SHR,2021-07-06,,,,
KX0212,,,Rat,SHR,2021-07-05,,,,
KX0215,,,Rat,SHR,2021-07-13,,,,
KX0216,,,Rat,SHR,2021-07-12,,,,
KX0218,,,Rat,SHR,2021-07-19,,,,
KX0219,,,Rat,SHR,2021-07-20,,,,
QC2962,,,Rat,SHR,2021-07-06,2021-07-08,2,Yes,
QC2963,,,Rat,SHR,2021-07-07,2021-07-09,2,Yes,
QC3160,,,Rat,SHR,2021-07-05,,,,
QC3161,,,Rat,SHR,2021-07-05,,,,
QC3164,,,Rat,SHR,2021-07-12,,,,
QC3165,,,Rat,SHR,2021-07-13,,,,
QC3168,,,Rat,SHR,2021-07-19,,,,
QC3169,,,Rat,SHR,2021-07-20,,,,
VH1102,,,Rat,SHR,2021-07-06,2021-07-08,2,Yes,
VH1103,,,Rat,SHR,2021-07-07,2021-07-09,2,Yes,
VH1105,,,Rat,SHR,2021-07-12,,,,
VH2191,,,Rat,SHR,2021-07-06,,,,
VH2192,,,Rat,SHR,2021-07-05,,,,
VH2195,,,Rat,SHR,2021-07-13,,,,
VH2196,,,Rat,SHR,2021-07-12,,,,
