"Animal ID","Repeat Instrument","Repeat Instance",Species,"Enrollment model","Actual surgery date ","Date of MRI scan","MRI scan days since surgery","Was the MRI scan uploaded to the IDA?","Reason the MRI scan was not uploaded to the IDA","Actual date of death"
AM3285,,,Mouse,"Aging mouse",2021-07-05,,,,,2021-07-07
AM3286,,,Mouse,"Aging mouse",2021-07-07,,,,,2021-07-08
AM3287,,,Mouse,"Aging mouse",2021-07-05,2021-07-07,2,Yes,,
AM3288,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,Yes,,
AM4553,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,,,,,
AM4554,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,,,,,
AM4555,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
AM4595,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,2021-07-28,2,Yes,,2021-07-29
AM4596,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,2021-07-29,2,Yes,,
AM4687,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-20,,,,,2021-07-21
AM4688,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-20,2021-07-22,2,Yes,,
AM4690,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-04,,,,,2021-07-04
AM4691,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-04,2021-07-06,2,Yes,,
AM4846,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-14,2021-07-16,2,Yes,,
AM4848,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-14,,,,,2021-07-14
AM5181,,,Mouse,"Aging mouse",2021-07-26,,,,,2021-07-26
AM5182,,,Mouse,"Aging mouse",2021-08-02,,,,,2021-08-02
AM5198,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,2021-07-29
AM5303,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,
AM5304,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
AM5305,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
AM5306,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
AM5310,,,Mouse,"Aging mouse",2021-08-02,,,,,
AM5341,,,Mouse,"Aging mouse",2021-07-13,,,,,2021-07-15
AM5419,,,Mouse,"Aging mouse",2021-07-13,,,,,2021-07-15
FR4867,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
FR4869,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,
FR4870,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
FR4873,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
FR4881,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,2021-07-28
FR4954,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,,,,,
FR4955,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,,,,,
FR4956,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
FR4957,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-03,,,,,
FR4996,,,Mouse,"Aging mouse",2021-07-06,,,,,2021-07-06
FR4997,,,Mouse,"Aging mouse",2021-07-12,,,,,2021-07-12
FR4998,,,Mouse,"Aging mouse",2021-07-19,2021-07-21,2,Yes,,
FR4999,,,Mouse,"Aging mouse",2021-07-20,2021-07-22,2,Yes,,
FR5075,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,,,,,2021-07-26
FR5076,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,2021-07-28,2,Yes,,
FR5179,,,Mouse,"Aging mouse",2021-07-28,2021-07-30,2,Yes,,
FR5220,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-04,,,,,2021-07-05
FR5221,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-04,2021-07-06,2,Yes,,2021-07-07
FR5238,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-21,,,,,
FR5239,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-21,,,,,2021-07-23
FR5313,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
FR5314,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
FR5674,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
FR5675,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,2021-08-03
FR8149,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,,,2021-07-14
FR8345,,,Mouse,"Aging mouse",2021-07-05,2021-07-07,2,Yes,,2021-07-07
FR8346,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,Yes,,
FR8347,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,Yes,,
FR8348,,,Mouse,"Aging mouse",2021-07-06,,,,,2021-07-08
FR8349,,,Mouse,"Aging mouse",2021-07-06,2021-07-08,2,Yes,,2021-07-08
KW8752,,,Mouse,"Aging mouse",2021-07-05,2021-07-07,2,Yes,,
KW8753,,,Mouse,"Aging mouse",2021-07-06,,,,,2021-07-07
KW8754,,,Mouse,"Aging mouse",2021-07-06,2021-07-08,2,Yes,,2021-07-08
KW8755,,,Mouse,"Aging mouse",2021-07-07,2021-07-09,2,Yes,,2021-07-17
KW8758,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,
KW8759,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,2021-07-17
KW9450,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,2021-07-19
KX0036,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,2021-07-28,2,Yes,,
KX0037,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
KX0141,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
KX0150,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-05,2021-07-07,2,Yes,,
KX0151,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-05,2021-07-07,2,Yes,,
KX0158,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
KX0288,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-14,,,,,2021-07-14
KX0297,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-14,2021-07-16,2,Yes,,
KX0554,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
KX0555,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-03,,,,,
KX0621,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
KX0628,,,Mouse,"Aging mouse",2021-08-02,,,,,
KX0638,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
KX0639,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,
KX0640,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,,,
KX0641,,,Mouse,"Aging mouse",2021-07-20,2021-07-22,2,Yes,,2021-07-22
KX0642,,,Mouse,"Aging mouse",2021-07-19,,,,,2021-07-19
KX0643,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
KX0658,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,2021-07-14
KX0659,,,Mouse,"Aging mouse",2021-07-06,2021-07-08,2,Yes,,
KX0821,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
KX0822,,,Mouse,"Aging mouse",2021-08-02,,,,,
KX0838,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
QC1685,,,Mouse,"Aging mouse",2021-07-06,2021-07-08,2,Yes,,2021-07-09
QC1686,,,Mouse,"Aging mouse",2021-07-07,,,,,2021-07-09
QC1687,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,2021-07-20
QC1688,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,
QC2429,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,
QC2430,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,
QC3056,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,2021-07-29,2,Yes,,
QC3057,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,2021-07-29,2,Yes,,
QC3058,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
QC3080,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-05,2021-07-07,2,Yes,,
QC3081,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-05,,,,,2021-07-07
QC3092,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,2021-07-28
QC3093,,,Mouse,"Aging mouse",2021-07-26,,,,,2021-07-26
QC3098,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-21,2021-07-23,2,Yes,,
QC3099,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-21,2021-07-23,2,Yes,,
QC3141,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
QC3142,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,,,,,2021-07-21
QC3581,,,Mouse,"Aging mouse",2021-07-26,,,,,2021-07-26
QC3582,,,Mouse,"Aging mouse",2021-08-02,,,,,
QC3598,,,Mouse,"Aging mouse",2021-08-02,,,,,
QC3687,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,,,,,2021-07-19
QC3688,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
QC3689,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
QC3692,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
QC3700,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,Yes,,2021-07-15
QC3701,,,Mouse,"Aging mouse",2021-07-19,2021-07-21,2,Yes,,
QC3702,,,Mouse,"Aging mouse",2021-07-20,2021-07-22,2,Yes,,
QC3703,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
QC3718,,,Mouse,"Aging mouse",2021-07-06,,,,,2021-07-06
QC3719,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,2021-07-15
QC3794,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,,,,,
QC3795,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,,,,,
QC3796,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
VH1893,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-26,,,,,
VH1894,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,,,,,
VH1895,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-03,,,,,
VH2016,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-27,2021-07-29,2,Yes,,
VH2017,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
VH2018,,,Mouse,"Obesity Induced Hyperglycemia",2021-08-02,,,,,
VH2107,,,Mouse,"Aging mouse",2021-07-28,,,,,2021-07-29
VH2112,,,Mouse,"Aging mouse",2021-07-28,2021-07-30,2,Yes,,2021-07-30
VH2117,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-20,2021-07-22,2,Yes,,
VH2118,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-20,2021-07-22,2,Yes,,
VH2611,,,Mouse,"Aging mouse",2021-08-02,,,,,
VH2709,,,Mouse,"Aging mouse",2021-08-02,,,,,2021-08-02
VH2710,,,Mouse,"Aging mouse",2021-07-26,2021-07-28,2,Yes,,
VH2715,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-13,2021-07-15,2,Yes,,
VH2716,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-19,2021-07-21,2,Yes,,
VH2717,,,Mouse,"Obesity Induced Hyperglycemia",2021-07-12,2021-07-14,2,Yes,,
VH2730,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,2021-07-14
VH2731,,,Mouse,"Aging mouse",2021-07-06,,,,,2021-07-06
VH2732,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,Yes,,
VH2733,,,Mouse,"Aging mouse",2021-07-20,2021-07-22,2,Yes,,2021-07-22
VH2734,,,Mouse,"Aging mouse",2021-07-19,2021-07-21,2,Yes,,
VH2737,,,Mouse,"Aging mouse",2021-07-26,,,,,2021-07-27
VH5300,,,Mouse,"Aging mouse",2021-07-05,2021-07-07,2,Yes,,
VH5301,,,Mouse,"Aging mouse",2021-07-12,2021-07-14,2,Yes,,
VH5302,,,Mouse,"Aging mouse",2021-07-07,2021-07-09,2,Yes,,
VH5305,,,Mouse,"Aging mouse",2021-07-13,2021-07-15,2,Yes,,
