subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
AM3272,AG,Augusta,early,9.176626094,434.3423018,0.394875047,6.85E-04,0.001658667,5.82E-04,19.40566672,9.711733529,10.86364351,2.143141928,5.652461891
AU8051,AG,Augusta,early,6.37875076,387.0720461,66.03525787,6.51E-04,0.001574929,5.19E-04,18.14920634,10.21760154,11.63183396,2.170835993,5.17501332
AU8052,AG,Augusta,early,4.262625508,403.9402982,42.72075509,7.79E-04,0.001779495,6.16E-04,18.19832986,11.15243504,11.95232629,2.17041996,5.284105659
AU8053,AG,Augusta,early,6.523875778,421.9358003,40.10512978,6.54E-04,0.001562671,5.40E-04,17.6683146,10.56816553,11.59159852,2.026575482,4.77294312
AU8054,AG,Augusta,early,6.547500781,415.4051745,35.68050425,6.56E-04,0.001702949,5.28E-04,18.64069199,9.914458705,10.59263822,2.238816148,5.500650278
FR8250,AG,Augusta,early,9.321751111,413.4240493,0.381375045,6.04E-04,0.001524126,4.32E-04,19.82685664,10.03341094,12.00788008,2.075559821,5.328793896
FR8251,AG,Augusta,early,5.410125645,371.6989193,48.71138081,5.98E-04,0.001472449,4.31E-04,19.67474422,10.54377359,10.58390225,2.037246873,5.403434632
KW8630,AG,Augusta,early,4.053375483,422.6546754,23.03437775,6.00E-04,0.001487349,4.69E-04,19.65361742,10.99706838,11.13511068,2.162866256,5.557510328
QC1650,AG,Augusta,early,6.115500729,398.7090475,37.90462952,5.82E-04,0.001440866,4.59E-04,19.42590586,10.44015108,11.30676289,1.996285562,4.60814196
QC1651,AG,Augusta,early,6.274125748,425.5436757,0.405000048,6.79E-04,0.001691073,4.61E-04,20.049795,9.610506546,10.93756331,2.178354673,5.730441975
VH5210,AG,Augusta,early,14.00625167,331.3035395,74.45925888,5.31E-04,0.001505399,3.45E-04,20.05736645,9.115390902,10.7618199,2.036428557,5.356199395
AM5398,IW,UIowa,early,12.52800149,391.4325467,0,7.53E-04,0.002020788,NA,22.9710343,8.745935204,NA,4.891054982,8.996244821
AM5398,IW,UIowa,late,13.71937664,388.7325463,0,7.49E-04,0.002044987,NA,25.22912243,12.21164908,NA,5.134161028,9.587130363
AM5399,IW,UIowa,early,4.978125593,443.6978029,6.790500809,7.32E-04,0.001823878,6.18E-04,23.47978798,11.25044843,15.19266608,4.470732576,7.30879648
FR4960,IW,UIowa,early,8.22150098,416.7146747,0,8.04E-04,0.002091459,NA,23.24944548,10.61804858,NA,4.672360398,8.231910017
FR4960,IW,UIowa,late,8.154000972,412.2967991,0,7.79E-04,0.00201302,NA,24.82601581,13.04152683,NA,4.98068951,9.449757789
FR4979,IW,UIowa,early,10.23637622,406.4141734,6.689250797,7.74E-04,0.002038102,6.77E-04,24.55844806,12.72279593,15.62080643,3.938817597,8.508069387
FR4979,IW,UIowa,late,8.734501041,409.0331738,0,8.39E-04,0.001994679,NA,24.79635491,11.59303759,NA,4.53290473,8.3842813
KX0560,IW,UIowa,early,6.790500809,392.0366717,7.711875919,7.61E-04,0.001942366,5.87E-04,23.48391895,11.46278776,14.80775711,4.818280907,8.875894638
KX0560,IW,UIowa,late,4.421250527,396.0157972,0,9.01E-04,0.002163481,NA,25.7593138,13.19630545,NA,4.642253021,8.72498946
KX0579,IW,UIowa,early,7.691625917,378.9686702,2.916000348,7.80E-04,0.002091093,6.53E-04,22.81022079,10.75696663,15.48574677,4.996645231,8.862302527
