subject,site_id,site_name,timepoint,volume_csf,volume_tissue,volume_lesion,adc_rate_mean_tissue,adc_rate_mean_csf,adc_rate_mean_lesion,t2_rate_mean_tissue,t2_rate_mean_csf,t2_rate_mean_lesion,adc_qa_snr,t2_qa_snr
AM3260,AG,Augusta,early,6.382125761,443.3366778,0,6.90E-04,0.001623708,NA,19.4404329,9.286267298,NA,2.09555857,5.532348541
AM3261,AG,Augusta,early,12.15675145,446.4518032,0,6.59E-04,0.001658915,NA,19.07655351,9.254649331,NA,2.04531815,5.224467557
AM3262,AG,Augusta,early,5.20087562,424.5109256,6.922125825,6.13E-04,0.001554858,5.66E-04,19.75632271,10.16504355,14.73921924,1.998932754,5.099185593
AM3262,AG,Augusta,late,5.28525063,433.9811767,0.401625048,6.03E-04,0.001553101,4.84E-04,19.65105118,9.894446329,14.60386856,1.800291246,4.332960454
AM3264,AG,Augusta,early,3.793500452,317.4086628,18.62662722,7.95E-04,0.00183851,6.74E-04,19.97663578,9.923042131,14.4148879,1.993749632,5.123890998
AM3265,AG,Augusta,early,5.005125597,368.0437939,97.23376159,5.45E-04,0.001331852,4.80E-04,18.94021929,10.42799198,11.56432687,1.659113169,4.024461764
AM3273,AG,Augusta,early,4.69462556,432.4421766,1.036125124,7.23E-04,0.001777969,6.09E-04,19.47769405,9.739161474,14.59589353,1.956516915,4.500855078
AM3273,AG,Augusta,late,5.643000673,425.6415507,0.688500082,6.31E-04,0.001613271,5.46E-04,19.38632705,9.823625939,13.24041465,1.821152977,4.542586302
FR8240,AG,Augusta,early,9.261001104,397.9901724,42.71738009,6.47E-04,0.001608835,4.76E-04,19.66022331,9.881790714,11.72180067,2.117090533,5.527789417
FR8240,AG,Augusta,late,7.090875845,396.0259222,0,6.25E-04,0.001565731,NA,19.21112527,9.751009935,NA,1.694173807,4.048408808
FR8253,AG,Augusta,early,2.635875314,409.2289238,0.381375045,7.13E-04,0.001678148,6.97E-04,19.5765441,10.13683789,13.68454818,1.857292523,4.472807587
FR8253,AG,Augusta,late,5.443875649,406.1711734,0,6.30E-04,0.001588054,NA,19.50756823,9.908709459,NA,1.769675795,4.407259852
FR8257,AG,Augusta,early,7.182000856,400.0927977,56.80800677,5.98E-04,0.001512925,4.77E-04,19.96524759,10.05364536,12.47996975,1.823626589,4.647754636
FR8258,AG,Augusta,early,6.12225073,387.4702962,99.75826189,5.92E-04,0.001490124,4.62E-04,19.29904345,10.18824126,11.22693577,1.883852178,4.689258708
KW8621,AG,Augusta,early,4.060125484,404.5275482,15.86587689,6.47E-04,0.001598304,5.86E-04,19.53729452,10.04298668,12.68171884,1.946156277,5.268864454
KW8621,AG,Augusta,late,5.879250701,406.2285484,0.297000035,6.25E-04,0.0015863,4.53E-04,19.43501322,9.984227544,13.82023031,1.794357442,4.752472114
KW8622,AG,Augusta,early,5.092875607,427.2311759,15.81187688,7.71E-04,0.001750093,6.64E-04,19.27934199,8.892979361,10.9809206,1.885760602,4.735581945
KW8622,AG,Augusta,late,2.797875334,421.4126752,2.315250276,7.09E-04,0.001666651,6.55E-04,19.39656493,9.539968576,13.2534894,1.804192528,4.479100452
KW8624,AG,Augusta,early,4.596750548,429.8738012,0,6.41E-04,0.001627826,NA,19.62451338,10.57188368,NA,2.260290452,5.498914495
KW8624,AG,Augusta,late,3.361500401,425.6618007,0,6.03E-04,0.001528219,NA,19.08875509,10.30142416,NA,1.672373474,4.026500506
KW8627,AG,Augusta,early,6.888375821,416.6100497,4.775625569,5.88E-04,0.001458218,5.52E-04,19.0003554,9.814157435,14.39615638,1.737238103,4.244948639
KW8628,AG,Augusta,early,8.852626055,416.4784246,0,5.94E-04,0.001536355,NA,19.56430265,9.511542441,NA,1.711137982,4.038093426
KW8632,AG,Augusta,early,12.77437652,428.085051,2.966625354,6.38E-04,0.001613441,5.24E-04,19.16259365,9.481016974,13.17795374,1.807231272,4.427794764
QC1655,AG,Augusta,early,7.668000914,420.9199252,10.60087626,6.05E-04,0.001516697,5.47E-04,18.81734867,10.0444209,14.27061553,1.754521338,4.258265009
QC1656,AG,Augusta,early,17.80987712,436.374052,8.170875974,6.47E-04,0.001613006,5.46E-04,19.27047357,9.337577071,13.66756148,2.028668729,5.159342017
QC1658,AG,Augusta,early,6.098625727,428.9861761,14.2661267,6.59E-04,0.001631046,6.16E-04,19.83327545,9.608742662,13.88776317,2.109014021,5.557780849
QC1658,AG,Augusta,late,6.972750831,415.6312995,0,6.08E-04,0.001565551,NA,19.14590601,9.643773349,NA,1.731736403,4.236898605
QC1659,AG,Augusta,early,5.329125635,416.4952997,45.19125539,6.42E-04,0.00158455,5.63E-04,19.77960301,9.996361284,11.60239219,2.002709972,4.908029933
QC1659,AG,Augusta,late,5.082750606,397.7066724,0,6.10E-04,0.001534741,NA,19.41878799,9.786149844,NA,1.747600605,4.176308574
VH5211,AG,Augusta,early,5.838750696,405.4084233,3.513375419,6.30E-04,0.001587264,5.19E-04,19.90364631,10.1110378,13.86855673,1.975612887,5.107864621
VH5212,AG,Augusta,early,14.91750178,425.2028007,12.81150153,6.25E-04,0.00159643,5.24E-04,18.94060963,9.137557163,14.55039965,1.912114636,4.918551333
VH5213,AG,Augusta,early,7.786125928,425.6415507,14.04000167,6.32E-04,0.001597397,5.41E-04,19.62998374,9.741467372,13.19356834,2.028623581,5.168365923
VH5213,AG,Augusta,late,5.474250653,409.7081738,0,6.24E-04,0.001571929,NA,19.37168313,9.946783017,NA,1.778566742,4.276304034
VH5214,AG,Augusta,early,7.344000875,413.2080493,3.574125426,6.14E-04,0.001569488,5.55E-04,19.82799015,9.87607454,15.61973514,1.898378283,4.841669204
VH5214,AG,Augusta,late,0.826875099,413.2046743,2.784375332,6.15E-04,0.001539752,5.64E-04,19.13038475,12.50644446,4.911312172,1.682418494,4.019679442
VH5215,AG,Augusta,early,17.6242521,440.1101775,0.621000074,6.79E-04,0.001675287,5.18E-04,19.11507348,9.051368014,13.57135464,2.103056651,5.98233969
VH5216,AG,Augusta,early,4.856625579,414.2272994,6.567750783,5.78E-04,0.001483093,5.47E-04,18.99268369,10.16529217,13.7330344,1.703072678,4.199099467
VH5219,AG,Augusta,early,7.620750908,334.1419148,115.8570138,5.53E-04,0.001401871,4.42E-04,19.42047733,10.00548039,11.65214083,1.853155777,4.684034236
AM5380,IW,UIowa,early,10.80000129,406.2994234,0,7.33E-04,0.001925302,NA,23.70783711,10.63448916,NA,4.803079934,8.693634321
AM5381,IW,UIowa,early,7.981875952,388.5705463,29.28825349,7.74E-04,0.001810577,5.72E-04,26.99272098,12.72236698,19.12409776,4.839655791,8.5316906
AM5382,IW,UIowa,early,7.823250933,386.7412961,20.83050248,7.40E-04,0.00200419,6.21E-04,23.40814304,9.544550057,16.89268486,5.12803142,9.407238938
AM5390,IW,UIowa,early,6.662250794,377.15967,30.85425368,7.31E-04,0.001943066,6.35E-04,24.38490346,11.55856466,16.39603749,4.860009146,9.06037996
AM5391,IW,UIowa,early,4.522500539,383.7577957,26.18662812,8.14E-04,0.001996335,6.79E-04,24.06256991,11.43400662,16.97290152,4.747537912,8.47348725
AM5392,IW,UIowa,early,11.05650132,410.4371739,36.13950431,8.45E-04,0.002113469,6.74E-04,23.17090317,10.69147889,14.96758304,4.514142079,8.646923817
