index,color,abbrev,name
1,#ffffff,CNS,Central_Nervous_System
34,#330000,SP,Spinal_Cord
21,#0,C,Central_Canal_Spinal_Cord
1000,#ffffff,BR,Brain
8,#ff00,FB,Forebrain
16,#0,VL,Lateral_Ventricle
17,#0,IVF,Intraventricular_Foramen
27,#ff00,CTX,Cerebral_Cortex
98,#6600,HIP,Hippocampus
1001,#9900,CA1,CA1_Region
1002,#6633,CA3,CA3_Region
1003,#336600,DG,Dentate_Gyrus
99,#669900,OLF,Olfactory_System
1004,#99cc00,FRO,Frontal_Cortex
1005,#99ff33,PERI,Perirhinal_Cortex
1006,#66ff66,ENT,Entorhinal_Cortex
28,#cc99,BG,Basal_Ganglia
101,#cc81,CP,Caudoputamen
84,#ffff00,In,Olfactory_Nerve
86,#ffff00,cc,Corpus_Callosum
90,#ffff00,aco,Anterior_Commissure_Olfactory_Limb
91,#ffff00,lot,Lateral_Olfactory_Tract
93,#ffff00,int,Internal_Capsule
94,#ffff00,act,Anterior_Commissure_Temporal_Limb
112,#ffff00,st,Stria_Terminalis
1008,#99ff99,AMY,Amygdala
18,#0,V3,Third_Ventricle
31,#ff,IB,Interbrain
64,#d7,HY,Hypothalamus
65,#ff,TH,Thalamus
96,#ffff00,fr,Fasciculus_Retroflexus
97,#ffff00,sm,Stria_Medullaris
32,#ffff,MB,Midbrain
19,#0,AQ,Cerebral_Aqueduct
107,#e1e1,IPN,Interpeduncular_Nucleus
108,#c8c8,SN,Substantia_Nigra
110,#b5b4,IC,Inferior_Colliculus
111,#a1a1,SC,Superior_Colliculus
1010,#e1e1,PAG,Periaqueductal_Grey
1011,#ffff33,cpd,Cerebral_peduncle
33,#ff00ff,HB,Hindbrain
9,#ff0000,CB,Cerebellum
12,#ffff00,cbf,Cerebellar_Related_Fiber_Tracts
29,#ff0000,CBX,Cerebellar_Cortex
30,#eb0000,CBN,Cerebellar_Nuclei
20,#0,4V,Fourth_Ventricle
103,#d700d7,P,Pons
104,#c800c8,MY,Medulla
85,#ffff00,IIn,Optic_Nerve
92,#ffff00,och,Optic_Chiasm
95,#ffff00,fxs,Fornix_System
1007,#330033,PIT,Pituitary
1009,#ffff,RET,Retina
