subject,sex,sleep,treat,corner
AM3262,F,Asleep,E,0.105
AM3264,F,Asleep,C,0.105
AM3268,M,Asleep,C,1
AM3273,M,Asleep,C,0.105
AM3276,F,Asleep,B,0.3
AM3277,M,Asleep,E,0
AM3278,M,Asleep,D,0.895
AM3279,F,Asleep,B,0
AM3280,M,Asleep,A,0.7
AM3281,F,Asleep,Control,0.105
AM3282,M,Asleep,C,0
AM3290,F,Asleep,D,0.5
AM3295,F,Asleep,B,0
AM3299,F,Asleep,E,0.895
AM3620,M,Awake,A,0.7
AM3621,M,Awake,Control,0.5
AM3622,F,Awake,E,0
AM3625,F,Awake,Control,0
AM3627,M,Awake,Control,0
AM3629,F,Awake,C,0.5
AM3636,F,Awake,A,0
AM3638,F,Awake,B,0.5
AM3680,M,Awake,D,0
AM3682,M,Awake,F,0.105
AM3685,M,Awake,F,0.895
AM3686,F,Awake,RIC Sham,0
AM3687,M,Awake,D,0.105
AM3688,F,Awake,D,0.105
AM3694,M,Awake,E,0
AM3695,M,Awake,RIC Sham,0.895
AM4540,F,Asleep,C,0
AM4541,M,Asleep,C,0.895
AM4542,F,Asleep,Control,0.105
AM4543,M,Asleep,B,0.7
AM4544,F,Asleep,C,0.105
AM4545,M,Asleep,Control,0
AM4546,F,Asleep,C,0
AM4550,F,Asleep,RIC Sham,0
AM4551,M,Asleep,RIC Sham,0
AM4552,F,Asleep,F,0.105
AM4560,F,Asleep,C,0.105
AM4561,M,Asleep,C,0.3
am4562,M,Asleep,Control,0
AM4563,F,Asleep,Control,0.105
AM4565,F,Asleep,B,0.105
AM4566,F,Asleep,A,0.3
AM4568,M,Asleep,E,0.105
AM4569,F,Asleep,A,0.3
AM4572,M,Asleep,B,0.895
AM4573,F,Asleep,A,0.5
AM4574,M,Asleep,E,0.105
AM4575,F,Asleep,A,0
AM4576,M,Asleep,C,0
AM4577,F,Asleep,B,0.105
AM4579,M,Asleep,C,0
AM4580,F,Awake,B,0.105
AM4583,M,Awake,D,0.105
AM4586,F,Awake,E,0.895
AM4593,F,Awake,RIC Sham,0
AM4600,F,Asleep,D,1
AM4601,F,Asleep,B,0
AM4602,M,Asleep,B,0
AM4603,F,Asleep,C,0.105
AM4604,M,Asleep,B,0
AM4605,M,Asleep,Control,0
AM4606,F,Asleep,E,0
AM4608,M,Asleep,E,0.3
AM4612,F,Asleep,C,0
AM4613,M,Asleep,Control,0.7
AM4615,F,Asleep,E,0.895
AM4616,F,Asleep,C,0.3
AM4619,M,Asleep,C,0
AM4840,M,Awake,F,0
AM4841,F,Awake,RIC Sham,0
AM4842,M,Awake,F,0.5
AM4845,F,Awake,Control,1
AM4847,M,Awake,C,0
AM4850,F,Awake,F,0.7
AM4852,M,Asleep,A,0.5
AM4854,F,Awake,C,0.7
AM4857,M,Awake,D,0.105
AM4920,M,Awake,Control,0.105
AM4921,M,Awake,E,0.3
AM4923,M,Awake,C,1
AM4936,M,Awake,Control,0.895
AM4937,F,Awake,C,0.7
AM4939,F,Awake,D,0.895
AM5380,F,Awake,Control,0.3
AM5382,F,Awake,Control,0.895
AM5386,F,Awake,B,0.7
AM5388,F,Awake,B,0.105
AM5389,M,Awake,E,0.3
AM5391,M,Awake,Control,0
AM5393,M,Awake,RIC Sham,0.105
AM5394,M,Awake,F,0.7
AM5395,M,Awake,F,0.5
AM5397,M,Awake,F,0.105
AM5400,M,Asleep,B,0.3
AM5403,M,Asleep,RIC Sham,0.105
AM5404,F,Asleep,F,0.105
AM5405,F,Asleep,F,0.895
AM5406,M,Asleep,F,0.3
AM5407,M,Asleep,E,0
AM5408,F,Asleep,D,0.3
AM5599,M,Asleep,C,0.7
FR4500,M,Awake,A,0.5
FR4501,M,Awake,Control,0.5
FR4502,M,Awake,D,0.7
FR4503,M,Awake,E,0.5
FR4505,M,Awake,Control,0.3
